in_domain_fcc_displacement,in_domain_fcc_force_error,in_domain_fcc_uncertainty,in_domain_fcc_extrapolation_score,strained_cell_displacement,strained_cell_force_error,strained_cell_uncertainty,strained_cell_extrapolation_score,extrapolative_hot_displacement,extrapolative_hot_force_error,extrapolative_hot_uncertainty,extrapolative_hot_extrapolation_score
0.053527445362,0.0155119015028,0.0537346058767,0.629734651318,0.0491544260843,0.0567057044394,0.143085668781,1.3282873657,0.133483161656,0.0608892585253,0.423438213159,3.07039013713
0.0427464160356,-0.0037961402424,0.0499612456124,0.502899012183,0.0758606756425,-0.0154794985285,0.156171731065,1.64247853697,0.153705358211,0.160702687204,0.437593750748,3.30829833189
0.0431313701014,-0.00306682823202,0.0500959795355,0.507427883546,0.122964884396,-0.0580925941595,0.179252793354,2.19664569878,0.143127714478,0.174562519751,0.430189400135,3.18385546445
0.050329581985,-0.013510176993,0.0526153536948,0.592112729236,0.0841299099969,0.038868230274,0.160223655898,1.73976364702,0.138726491249,0.0147211415677,0.427108543874,3.13207636764
0.0162036629889,-0.0328352424901,0.0406712820461,0.190631329281,0.0775864122954,-0.00600136808448,0.157017342025,1.66278132112,0.0544837435504,0.0497945764698,0.368138620485,2.14098521824
0.0279845645409,-0.014411853069,0.0447945975893,0.32923017107,0.0557970994582,0.0282111027857,0.146340578735,1.40643646421,0.0781510550677,0.138740581454,0.384705738547,2.41942417727
0.0278791892579,-0.0119663253505,0.0447577162403,0.327990461857,0.0638125135336,0.0445573027192,0.150268131631,1.50073545334,0.117765173752,0.0445132487206,0.412435621627,2.88547263238
0.0383055918677,0.0171339088249,0.0484069571537,0.450654021973,0.0510716587576,-0.0372458643078,0.144025112791,1.35084304421,0.150329124734,0.175151305845,0.435230387314,3.26857793804
0.0458577170141,-0.0569017468155,0.0510502009549,0.539502553107,0.0845014461312,-0.0468115592741,0.160405708604,1.74413466037,0.0377627653803,0.177626212053,0.356433935766,1.944267828
0.0546699516391,-0.00318065555144,0.0541344830737,0.643175901636,0.0728673194349,-0.00415446369774,0.154704986523,1.60726258159,0.0855515401459,0.252313797333,0.389886078102,2.5064887076
